,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Percy Boza,boza_percy,2,109,0,0
1,Sweet Honey Peru,SweetHoneyPeru,450,2271,6,6
2,Luimest,luimest,1,381,0,0
3,Dora Yuiján Bravo,dyuijanb,49,176,8,5
4,Glen Marval,GlenMarval,28,470,2,11
5,Josue,josueavh,57,54,7,0
6,Alex Hernández,HVprojects,32,252,6,6
7,Beatriz Lucia,Bea_Lucia_R,11,215,7,5
8,Luciana,luciana_tavara,182,1032,8,3
9,Blancacolca,Blancacolca1,2,175,0,3
10,PEPE PALACIOS CUBAS,Josedel70876516,372,3319,4,3
11,MaryPamela,MaryPamelaRH,381,1083,6,7
12,Evelyn,EvEuL,104,165,8,5
13,Ivett Garcia,marvettgarcia,38,152,6,10
14,Micaela Bazalar,callate_micaela,585,1215,6,0
15,Emmanuel Polanco,EA_Polanco,14,317,4,0
16,El Mal Menor,elmalmenorperu,0,123,2,5
17,David Pulido,TonyDavidPulido,78,403,4,5
18,Feli Mantilla,1e8cb2cf364c4f3,4,36,3,3
19,MEL CALDERON MAYORCA,MelCalderonM,9,189,8,8
20,soni gonzales,soni810,74,450,8,8
21,Felix Palomino,FelixPa44807199,10,864,0,3
22,958 887 806,806_958,3,110,0,10
23,walter remon,walt3rcit0,89,171,8,4
24,DebatePeru,DebatePeru,3,116,0,0
25,dra. bertha caycho,BerthaMilagros1,629,1326,6,4
26,Modesto MAMANI,modesto_mamani,8,254,0,0
27,Jumira Aguilar,JumiraAz,313,341,7,3
28,Pietro Rami,pietrorami1910,103,1867,0,0
29,JoseDouther,JoseDou75737903,7,434,0,1
30,car gorvita,CGorvita,7,246,0,0
31,Fernan H. Marin Muñoz,00private,15,323,3,4
32,Centesur,centesur,3,538,8,5
33,Alvaro Celeston,AlvaroCeleston,882,809,4,10
34,Afsana Dolla,afsanadollabd,301,1301,0,9
35,Juan Arturo Mendieta Hernández,ja91zero,31,105,8,7
36,Luis Enrique Olaya,LuisEnr14751879,2,32,0,0
37,Raine,Raine75183086,4,393,0,0
38,Manuel Barrientos,ManuelBV4,68,230,8,3
39,VITAL,Kimiston2,6,261,0,0
40,eduardofv,eduardofv23,2,70,4,4
41,consuelo vasquez,consuelovm2000,9,46,6,5
42,Thamer,thamer_alcalde,44,930,9,3
43,jorge remy,jorgeremy,110,1459,7,0
44,Ipreciclaje,Ipreciclaje1,15,433,1,6
45,Natalia,lalelinina,4,41,0,1
46,anais karla,si_ana29,31,386,4,6
47,EDWIN SAMANEZ PEREZ,EDSAMANEZ,17,402,6,4
48,Nicolas Ian,ndominguez94,198,1282,4,5
49,Yuridia Lucira Dalitza,DalitzaLucira,2,41,0,0
50,Brian Vasquez,BrianVasquez95,0,52,0,5
51,ROBERTO GALVEZ,JUNGLEWARRIONS,46,1650,9,2
52,Zeto León,zetoleon,43,1399,0,8
53,Cecilia Dextre,DextreCecilia,13,150,0,2
54,Kizzy Calderon,calderon_kizzy,3,35,0,0
55,Rosa Luz Carrillo,RosaLuzlml,172,259,7,9
56,Javier Reynafarje,JavierReynafar2,2,126,0,0
57,celso torres ,celsotorresh,12,347,5,2
58,Lima Conecta,limaconecta,50,102,0,0
59,@henzortiz,henzortiz1,12,799,0,2
