,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Diegovillacorta98,Diegovillacor13,17,195,0,4
1,Ugartito,ugartito1,41,1479,1,2
2,Diego Burgos,Burgos2912,222,738,4,1
3,Jhon K. Capcha Salas,jcapchasalas,67,1499,6,9
4,JUAN R. GONZALES,JuanAguaytia,130,1466,9,3
5,Orestes Sánchez,Sanzpi,175,405,7,6
6,MCLCP LimaMetro,MCLCP_LimaMetro,61,384,3,4
7,Benjamin Cordova ramirez,Benjami02321263,5,557,0,0
8,Crimson.chavez,CrimsonChavez,1257,2196,0,6
9,Juanjo,juanjopolitica,14,690,1,2
10,Jorge Tola,jtola,30,102,10,4
11,VITOTATAGLIA,Vitotataglia,13,729,6,11
12,Gabriel Patiño,Gabriel17250674,0,27,0,0
13,Pieri,Pieri83199563,4,74,0,0
14,roberto carlos gonzales luyo,gonzales_luyo,3,131,0,0
15,José Cuadros Cruz,JosCuadrosCruz1,2,33,0,0
16,alvaro,alvaro68583357,0,46,0,0
17,Han Miranda🏆⚽️,HanMiranda90,355,4900,8,4
18,Gonzalo,Andre96906845,0,54,0,0
19,HIPICAENLINEA,ENRIQUE85268929,3,79,0,0
20,Waleswka Style,WaleswkaStyle,2,79,0,0
21,Jose Vega Avila,josevegaavila1,175,286,2,5
22,always_with_u__,alwayswithu8,0,54,0,0
23,Palomaa,Palomaa02724094,0,10,0,0
24,Marco Diaz,MarcoDi92882982,11,729,0,9
25,ANTOXD♦,OANT1,1,189,0,0
26,Damian Pratto,DamianPratto5,0,53,0,0
27,David Arias,davidasair,165,141,5,2
28,Carlos PachecoRivera,CAPRAQ70,46,42,4,9
29,GALLETA 7u7,7u7Galleta,0,50,0,0
30,Moises Robles Morales,MoisesRoblesMo4,3,64,0,0
31,Leonardo Stefano Palomino,Leonard04511810,2,34,0,0
32,Milagritos,MMMIIILLLAAA,26,84,8,4
33,SomosCursos,somoscursos,5,163,0,0
34,anthony,anthony62869388,0,50,0,0
35,Raul Moreno,RaulMor87977108,1,434,0,0
36,Bruno,skanziTo1xp,121,270,8,11
