,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Jhoel Ochoa Mendoza,Jh0eleX,53,158,7,5
1,@Henrynieves,EmpresasHenry,3,267,4,11
2,Sergio Lopez,SergioL52439321,10,520,0,1
3,luis vega,lvema79,0,60,0,0
4,oscar rodas,exeguiel,4,392,8,7
5,kallpa65,kallpa651,2,425,0,0
6,Jonathan Vasquez,JOVASVB29,60,953,4,1
7,Luimest,luimest,6,551,0,0
8,Gissela,Gisselaggp,17,348,2,7
9,amanda mayte limas,limas_mayte,15,307,3,7
10,Sweet Honey Peru,SweetHoneyPeru,450,2281,6,6
11,henry,CaNiNoMaN,21,202,7,1
12,Augustomartin,Augusto62641128,2,70,0,0
13,Patricio Vásquez,patxwave,26,188,7,5
14,Luis Marcelino Soto Lezama,LuisMar94549152,4,219,0,0
15,José Blas,Jose_Blas_H,3,43,3,9
16,MaritaMori19,Mori19Marita,3,142,0,2
17,Leyes Divinas,leyesdivinas,60,349,2,1
18,Lisbeth,Lisbeth37582545,15,392,0,5
19,Carlos Mestanza P.,CarlosMestanza,64,311,8,2
20,NEP.,NepAriasB,18,180,0,0
21,Ricardo Osores Plenge,RPlengr,11,152,0,9
22,Kantorodado Ky,kantorodadoky,18,596,2,6
23,J.C,JC70972587,6,91,0,0
24,Renzo Alarcón,Rnzorag,24,233,4,5
25,julio quispe alvarez,jquispe1,4,35,8,0
26,procesando,procesando_a,14,1193,0,7
27,Miriam Castro,MiriamluzC,19,253,0,10
28,Teodor Herbas,Teito66825243,0,29,0,2
29,samuel anccasi,Sam_Anccasi,33,166,5,8
30,César Castellanos,cercastel2014,213,630,2,5
31,alex castro,alextomatik,4,135,0,8
32,Masculinista Peruano,Masculinista_Pe,521,949,0,10
33,Belinda,Belinda04808123,3,114,0,4
34,Modesto MAMANI,modesto_mamani,10,254,0,0
35,carlos ilave,tllamalallama,41,230,3,1
36,Wissam Maksoud Maluf,wisadel,933,2628,8,3
37,Otylore,otylore,0,7,0,0
38,Edinson Flores H.,floreshuarca,95,615,8,4
39,Jorge Alosilla,alosillajorge,128,476,2,5
40,LIMACO FuerzaPopular,FuerzaK29,547,1289,2,5
41,ChavinDeHuantar,ChavinHuantar22,86,361,1,4
42,LIMACO Norte,LimacoNorte,166,389,1,5
43,Rubén Cano,RubenCano2018,97,170,0,0
44,Pedro,PedroGS1112,1,80,0,1
45,JRM,20Jrm,32,161,4,0
46,Carlos Castillo,CarlosC95207593,5,224,0,0
47,Andre Merecedes,AndreMerecedes,7,22,0,5
48,Sra K,SatoMyrtha,21,364,2,8
49,Freddy,Freddy14792701,7,59,1,2
50,esther guillen,estherguillend1,351,144,2,9
51,Christian,christo1411,10,49,7,2
52,Karen,karen_moralesgo,21,1051,0,5
53,lonnyvalbuena,lonnyvalbuena,225,2572,7,2
54,Flavio roman,flavionben,24,550,8,6
55,Fabiola :),Fabiola7748,0,57,0,1
56,Natalia,lalelinina,4,41,0,1
57,Victor,Viti93092474,4,57,0,0
58,Antonio José Díaz Ga,Antoniodiazgca,8,160,1,2
59,Italo Toma,italo_toma,5,88,1,11
60,Jaqueline Hoyos Cano,JaquelineHoyos2,88,616,2,7
