,candidato,alias,seguido_Por,siguiendo_A,Antiguedad_años,meses
0,Flor d María Hurtado,FlordeMariaH,616,819,9,3
1,Ortografía,OrtografiaReal,1587674,130,5,6
2,Gramática,GramaticaReal,624203,88,7,4
3,Datos curiosos,DAT0SCURI0S0S,38449,24,0,6
4,Ortografía en imágenes,OrtograImagenes,34681,25,0,5
5,"Monica Rubio, PhD",mrubio_UNICEF,166,571,5,1
6,Línea Uno,Lineaunope,5866,130,6,8
7,Metropolitano,MetropolitanoPT,25846,771,5,4
8,Lima_El Comercio,Lima_ECpe,56442,193,5,1
9,KatherineAmpueroMeza,kampueromeza,6898,536,1,1
10,ElOscuro,janoapm,243,156,9,2
11,Seriemania,SeriemaniaTV,7813,79,7,6
12,Cotejando,Cotejando1,59,109,0,3
13,marchello san martin,guardiamarina69,44,47,6,6
14,Renán Ortega Olivera,rortegaolivera,1124,319,3,0
15,Américo Zambrano,mecozam,2267,513,5,10
16,Política LRepública,Politica_LR,18099,45,1,7
17,Eloy Marchán,eloymarchan,3867,577,8,11
18,Juan Manuel Robles,palidofuego111,12392,2542,7,4
19,Ernesto Quiñones,ernestoq,892,244,9,7
20,@QuintoPoderPerú 🇵🇪,QuintoPoderPe,1566,1112,0,3
21,Arturo Pérez-Reverte,perezreverte,1966769,948,8,7
22,MINJUSDH,MinjusDH_Peru,150485,687,9,1
23,RENIEC PERÚ,reniecdigital,114439,629,8,3
24,ONPE,ONPE_oficial,190338,694,7,6
25,JNE Perú,JNE_Peru,163575,788,8,2
26,KeikoNOVA,keikonova2016,10040,510,2,6
27,LaFactoria,LaFactoria_Peru,3484,1156,2,1
28,Luciano López Flores,lucianolopez27,2053,754,3,0
29,blankitos out of context,pitucos_txt,16396,74,0,3
30,Ayer Nomas,AyerNomasSeries,1451,224,0,10
31,Papu,Soypinchewey,84248,403,5,7
32,SEDAPAL,Sedapal,83016,2353,9,0
33,SUNASS,sunassperu,43208,569,8,8
34,OSITRAN Perú,ositranperu,41411,693,8,5
35,OSIPTEL,OSIPTEL,85448,446,7,4
36,Indecopi Oficial,IndecopiOficial,207939,177,6,7
37,Diario El Peruano,DiarioElPeruano,45128,229,2,10
38,Diario Perú21,peru21noticias,42711,232,1,6
39,Huku,huku_pe,119,546,0,8
40,Juan Briones Astete,JuanBrionesAste,2089,355,6,1
41,hacerperu.pe,HacerPeruPe,1829,82,1,0
42,"Matheus Calderón, tu modesto amigo",andoenpando,4758,994,8,7
43,Gonzalo Zegarra Mulanovich,GzegarraM,4015,256,2,8
44,Diego Macera,dmacera,3608,375,6,8
45,Alonso Gurmendi,Alonso_GD,8062,2360,7,4
46,enzo defilippi,enzodef,2883,906,9,1
47,Javier Ponce G,PonceGambirazio,137,243,1,9
48,luis morocho alvia,luismorocho,1746,785,9,1
49,Lynn Felipe,lynnphilip,730,646,8,5
50,Roberto Ramírez,instan_taneas,1678,625,7,6
51,Jorge Saldaña,jlsaldanar,7695,2383,6,7
52,Carlos Castillo,cdcastillin,5287,668,8,2
53,Ana Véliz Vásquez,AnaVeliz,5147,1113,9,0
54,Dan Flores,daflome,4624,1486,9,6
55,Carla Muschi,carla_muschi,6833,372,7,2
56,Vicky Zamora,vzamoras,6256,818,8,5
